marca,tienda,precio,ram_gb,almacenamiento_gb,features,scaledFeatures,prediction
0,0,927350.0,16,1024.0,"[927350.0,16.0,1024.0]","[1.4581838473355826,1.2730794066257018,2.823653486792474]",0
0,0,1029990.0,16,1024.0,"[1029990.0,16.0,1024.0]","[1.619577053881681,1.2730794066257018,2.823653486792474]",0
0,0,999990.0,16,512.0,"[999990.0,16.0,512.0]","[1.5724044486947855,1.2730794066257018,1.411826743396237]",0
0,0,1359990.0,16,512.0,"[1359990.0,16.0,512.0]","[2.1384757109375307,1.2730794066257018,1.411826743396237]",0
4,0,2799990.0,36,1024.0,"[2799990.0,36.0,1024.0]","[4.402760759908511,2.864428664907829,2.823653486792474]",1
0,0,649990.0,16,512.0,"[649990.0,16.0,512.0]","[1.0220573881810053,1.2730794066257018,1.411826743396237]",0
17,0,1149990.0,16,2048.0,"[1149990.0,16.0,2048.0]","[1.8082674746292626,1.2730794066257018,5.647306973584948]",1
3,0,2999900.0,32,1024.0,"[2999900.0,32.0,1024.0]","[4.717103276672254,2.5461588132514037,2.823653486792474]",1
2,0,679990.0,16,512.0,"[679990.0,16.0,512.0]","[1.0692299933679008,1.2730794066257018,1.411826743396237]",0
0,0,699995.0,16,512.0,"[699995.0,16.0,512.0]","[1.1006862589266955,1.2730794066257018,1.411826743396237]",0
2,0,659990.0,8,512.0,"[659990.0,8.0,512.0]","[1.0377815899099705,0.6365397033128509,1.411826743396237]",0
1,0,849990.0,24,512.0,"[849990.0,24.0,512.0]","[1.3365414227603083,1.9096191099385527,1.411826743396237]",0
2,0,1319990.0,16,1024.0,"[1319990.0,16.0,1024.0]","[2.07557890402167,1.2730794066257018,2.823653486792474]",1
1,0,994990.0,16,512.0,"[994990.0,16.0,512.0]","[1.5645423478303029,1.2730794066257018,1.411826743396237]",0
0,0,1138980.0,16,1024.0,"[1138980.0,16.0,1024.0]","[1.790955128525672,1.2730794066257018,2.823653486792474]",1
2,0,1149990.0,16,1024.0,"[1149990.0,16.0,1024.0]","[1.8082674746292626,1.2730794066257018,2.823653486792474]",1
2,0,939990.0,16,512.0,"[939990.0,16.0,512.0]","[1.4780592383209945,1.2730794066257018,1.411826743396237]",0
1,0,1425900.0,16,1024.0,"[1425900.0,16.0,1024.0]","[2.2421139245331396,1.2730794066257018,2.823653486792474]",1
1,0,1799992.0,32,1024.0,"[1799992.0,32.0,1024.0]","[2.830343731852343,2.5461588132514037,2.823653486792474]",1
5,0,365000.0,8,512.0,"[365000.0,8.0,512.0]","[0.5739333631072278,0.6365397033128509,1.411826743396237]",0
0,0,540390.0,16,512.0,"[540390.0,16.0,512.0]","[0.8497201372315474,1.2730794066257018,1.411826743396237]",0
4,0,799990.0,16,1024.0,"[799990.0,16.0,1024.0]","[1.2579204141154825,1.2730794066257018,2.823653486792474]",0
2,0,1033610.0,32,1024.0,"[1033610.0,32.0,1024.0]","[1.6252692149075663,2.5461588132514037,2.823653486792474]",1
2,0,1259990.0,32,1024.0,"[1259990.0,32.0,1024.0]","[1.9812336936478792,2.5461588132514037,2.823653486792474]",1
1,0,1499990.0,32,1024.0,"[1499990.0,32.0,1024.0]","[2.3586145351430425,2.5461588132514037,2.823653486792474]",1
4,0,1999990.0,24,1024.0,"[1999990.0,24.0,1024.0]","[3.1448246215912996,1.9096191099385527,2.823653486792474]",1
4,0,1899990.0,16,1024.0,"[1899990.0,16.0,1024.0]","[2.9875826043016485,1.2730794066257018,2.823653486792474]",1
5,0,629990.0,20,512.0,"[629990.0,20.0,512.0]","[0.9906089847230751,1.5913492582821274,1.411826743396237]",0
0,0,2028590.0,32,1024.0,"[2028590.0,32.0,1024.0]","[3.1897958385361402,2.5461588132514037,2.823653486792474]",1
4,0,615000.0,8,256.0,"[615000.0,8.0,256.0]","[0.9670384063313563,0.6365397033128509,0.7059133716981185]",0
1,0,1711990.0,32,512.0,"[1711990.0,32.0,512.0]","[2.6919676117971036,2.5461588132514037,1.411826743396237]",1
1,0,852925.0,16,512.0,"[852925.0,16.0,512.0]","[1.3411564759677594,1.2730794066257018,1.411826743396237]",0
2,0,1999990.0,32,1024.0,"[1999990.0,32.0,1024.0]","[3.1448246215912996,2.5461588132514037,2.823653486792474]",1
5,0,1579990.0,32,1024.0,"[1579990.0,32.0,1024.0]","[2.484408148974764,2.5461588132514037,2.823653486792474]",1
1,0,1811235.0,16,1024.0,"[1811235.0,16.0,1024.0]","[2.848022451856218,1.2730794066257018,2.823653486792474]",1
4,0,1829990.0,16,1024.0,"[1829990.0,16.0,1024.0]","[2.8775131921988923,1.2730794066257018,2.823653486792474]",1
4,0,1039990.0,16,512.0,"[1039990.0,16.0,512.0]","[1.6353012556106459,1.2730794066257018,1.411826743396237]",0
2,0,1039990.0,16,512.0,"[1039990.0,16.0,512.0]","[1.6353012556106459,1.2730794066257018,1.411826743396237]",0
1,0,2699990.0,32,2048.0,"[2699990.0,32.0,2048.0]","[4.245518742618859,2.5461588132514037,5.647306973584948]",1
2,0,999990.0,32,512.0,"[999990.0,32.0,512.0]","[1.5724044486947855,2.5461588132514037,1.411826743396237]",0
2,0,999990.0,32,512.0,"[999990.0,32.0,512.0]","[1.5724044486947855,2.5461588132514037,1.411826743396237]",0
2,0,689990.0,16,512.0,"[689990.0,16.0,512.0]","[1.084954195096866,1.2730794066257018,1.411826743396237]",0
0,0,1011000.0,16,512.0,"[1011000.0,16.0,512.0]","[1.5897167947983761,1.2730794066257018,1.411826743396237]",0
2,0,699990.0,8,512.0,"[699990.0,8.0,512.0]","[1.1006783968258311,0.6365397033128509,1.411826743396237]",0
0,0,1799990.0,16,1024.0,"[1799990.0,16.0,1024.0]","[2.830340587011997,1.2730794066257018,2.823653486792474]",1
2,0,1039990.0,16,512.0,"[1039990.0,16.0,512.0]","[1.6353012556106459,1.2730794066257018,1.411826743396237]",0
1,0,799990.0,16,512.0,"[799990.0,16.0,512.0]","[1.2579204141154825,1.2730794066257018,1.411826743396237]",0
0,0,1289818.0,16,1024.0,"[1289818.0,16.0,1024.0]","[2.028135842565036,1.2730794066257018,2.823653486792474]",1
2,0,1899990.0,32,1024.0,"[1899990.0,32.0,1024.0]","[2.9875826043016485,2.5461588132514037,2.823653486792474]",1
0,0,869990.0,16,1024.0,"[869990.0,16.0,1024.0]","[1.3679898262182386,1.2730794066257018,2.823653486792474]",0
2,0,1549990.0,32,1024.0,"[1549990.0,32.0,1024.0]","[2.4372355437878683,2.5461588132514037,2.823653486792474]",1
5,0,649000.0,16,1024.0,"[649000.0,16.0,1024.0]","[1.0205006922098379,1.2730794066257018,2.823653486792474]",0
0,0,1699990.0,24,1024.0,"[1699990.0,24.0,1024.0]","[2.6730985697223453,1.9096191099385527,2.823653486792474]",1
0,0,999990.0,16,1024.0,"[999990.0,16.0,1024.0]","[1.5724044486947855,1.2730794066257018,2.823653486792474]",0
4,0,739328.0,8,512.0,"[739328.0,8.0,512.0]","[1.1625342615872343,0.6365397033128509,1.411826743396237]",0
2,0,699900.0,8,512.0,"[699900.0,8.0,512.0]","[1.1005368790102703,0.6365397033128509,1.411826743396237]",0
2,0,1299990.0,16,1024.0,"[1299990.0,16.0,1024.0]","[2.04413050056374,1.2730794066257018,2.823653486792474]",1
0,0,1166990.0,16,1024.0,"[1166990.0,16.0,1024.0]","[1.8349986175685034,1.2730794066257018,2.823653486792474]",1
1,0,1379990.0,32,1024.0,"[1379990.0,32.0,1024.0]","[2.169924114395461,2.5461588132514037,2.823653486792474]",1
1,0,1999990.0,32,1024.0,"[1999990.0,32.0,1024.0]","[3.1448246215912996,2.5461588132514037,2.823653486792474]",1
1,0,1399992.0,32,512.0,"[1399992.0,32.0,512.0]","[2.201375662693737,2.5461588132514037,1.411826743396237]",1
1,0,979990.0,24,512.0,"[979990.0,24.0,512.0]","[1.5409560452368551,1.9096191099385527,1.411826743396237]",0
0,0,1489990.0,32,1024.0,"[1489990.0,32.0,1024.0]","[2.3428903334140774,2.5461588132514037,2.823653486792474]",1
12,0,3657490.0,32,1024.0,"[3657490.0,32.0,1024.0]","[5.751111058167273,2.5461588132514037,2.823653486792474]",1
2,0,919990.0,16,512.0,"[919990.0,16.0,512.0]","[1.4466108348630642,1.2730794066257018,1.411826743396237]",0
4,0,1382990.0,16,512.0,"[1382990.0,16.0,512.0]","[2.17464137491415,1.2730794066257018,1.411826743396237]",0
4,0,649990.0,8,256.0,"[649990.0,8.0,256.0]","[1.0220573881810053,0.6365397033128509,0.7059133716981185]",0
0,0,769990.0,16,512.0,"[769990.0,16.0,512.0]","[1.210747808928587,1.2730794066257018,1.411826743396237]",0
1,0,499900.0,32,512.0,"[499900.0,32.0,512.0]","[0.7860528444309676,2.5461588132514037,1.411826743396237]",0
0,0,999990.0,16,1024.0,"[999990.0,16.0,1024.0]","[1.5724044486947855,1.2730794066257018,2.823653486792474]",0
2,0,839990.0,16,512.0,"[839990.0,16.0,512.0]","[1.3208172210313431,1.2730794066257018,1.411826743396237]",0
5,0,359990.0,8,128.0,"[359990.0,8.0,128.0]","[0.5660555380410162,0.6365397033128509,0.35295668584905926]",0
2,0,1393990.0,32,1024.0,"[1393990.0,32.0,1024.0]","[2.191937996816012,2.5461588132514037,2.823653486792474]",1
4,0,2736990.0,24,1024.0,"[2736990.0,24.0,1024.0]","[4.3036982890160305,1.9096191099385527,2.823653486792474]",1
1,0,1150468.0,32,1024.0,"[1150468.0,32.0,1024.0]","[1.809019091471907,2.5461588132514037,2.823653486792474]",1
0,0,464990.0,8,512.0,"[464990.0,8.0,512.0]","[0.7311596561951502,0.6365397033128509,1.411826743396237]",0
0,0,2741910.0,64,1024.0,"[2741910.0,64.0,1024.0]","[4.311434596266682,5.092317626502807,2.823653486792474]",2
0,0,889990.0,16,512.0,"[889990.0,16.0,512.0]","[1.399438229676169,1.2730794066257018,1.411826743396237]",0
1,0,779900.0,16,512.0,"[779900.0,16.0,512.0]","[1.2263304928419916,1.2730794066257018,1.411826743396237]",0
4,0,649990.0,8,256.0,"[649990.0,8.0,256.0]","[1.0220573881810053,0.6365397033128509,0.7059133716981185]",0
1,0,619900.0,8,512.0,"[619900.0,8.0,512.0]","[0.9747432651785493,0.6365397033128509,1.411826743396237]",0
1,0,859990.0,16,512.0,"[859990.0,16.0,512.0]","[1.3522656244892735,1.2730794066257018,1.411826743396237]",0
1,0,1694900.0,32,1024.0,"[1694900.0,32.0,1024.0]","[2.665094951042302,2.5461588132514037,2.823653486792474]",1
2,0,2499990.0,32,1024.0,"[2499990.0,32.0,1024.0]","[3.931034708039557,2.5461588132514037,2.823653486792474]",1
0,0,899990.0,16,512.0,"[899990.0,16.0,512.0]","[1.4151624314051339,1.2730794066257018,1.411826743396237]",0
2,0,1349990.0,32,1024.0,"[1349990.0,32.0,1024.0]","[2.1227515092085656,2.5461588132514037,2.823653486792474]",1
1,0,829990.0,16,512.0,"[829990.0,16.0,512.0]","[1.305093019302378,1.2730794066257018,1.411826743396237]",0
1,0,489990.0,8,512.0,"[489990.0,8.0,512.0]","[0.7704701605175631,0.6365397033128509,1.411826743396237]",0
1,0,599990.0,16,512.0,"[599990.0,16.0,512.0]","[0.9434363795361796,1.2730794066257018,1.411826743396237]",0
1,0,349000.0,8,512.0,"[349000.0,8.0,512.0]","[0.5487746403408835,0.6365397033128509,1.411826743396237]",0
0,0,1019990.0,16,512.0,"[1019990.0,16.0,512.0]","[1.6038528521527158,1.2730794066257018,1.411826743396237]",0
1,0,1849990.0,16,1024.0,"[1849990.0,16.0,1024.0]","[2.9089615956568227,1.2730794066257018,2.823653486792474]",1
1,0,762390.0,16,512.0,"[762390.0,16.0,512.0]","[1.1987974156145735,1.2730794066257018,1.411826743396237]",0
2,0,566656.0,8,512.0,"[566656.0,8.0,512.0]","[0.8910213254928473,0.6365397033128509,1.411826743396237]",0
2,0,1039990.0,16,512.0,"[1039990.0,16.0,512.0]","[1.6353012556106459,1.2730794066257018,1.411826743396237]",0
2,0,870356.0,16,1024.0,"[870356.0,16.0,1024.0]","[1.3685653320015188,1.2730794066257018,2.823653486792474]",0
0,0,623200.0,16,512.0,"[623200.0,16.0,512.0]","[0.9799322517491078,1.2730794066257018,1.411826743396237]",0
4,0,699990.0,8,256.0,"[699990.0,8.0,256.0]","[1.1006783968258311,0.6365397033128509,0.7059133716981185]",0
1,0,859990.0,16,512.0,"[859990.0,16.0,512.0]","[1.3522656244892735,1.2730794066257018,1.411826743396237]",0
1,0,410990.0,8,256.0,"[410990.0,8.0,256.0]","[0.6462489668587384,0.6365397033128509,0.7059133716981185]",0
1,0,1330990.0,16,512.0,"[1330990.0,16.0,512.0]","[2.0928755259235317,1.2730794066257018,1.411826743396237]",0
1,0,319990.0,12,256.0,"[319990.0,12.0,256.0]","[0.5031587311251556,0.9548095549692763,0.7059133716981185]",0
0,0,735990.0,8,512.0,"[735990.0,8.0,512.0]","[1.1572855230501056,0.6365397033128509,1.411826743396237]",0
3,0,1545590.0,64,2048.0,"[1545590.0,64.0,2048.0]","[2.4303168950271234,5.092317626502807,5.647306973584948]",2
3,0,1014290.0,16,1024.0,"[1014290.0,16.0,1024.0]","[1.5948900571672056,1.2730794066257018,2.823653486792474]",0
2,0,999990.0,8,512.0,"[999990.0,8.0,512.0]","[1.5724044486947855,0.6365397033128509,1.411826743396237]",0
2,0,956330.0,64,512.0,"[956330.0,64.0,512.0]","[1.5037525839461237,5.092317626502807,1.411826743396237]",2
1,0,941990.0,8,512.0,"[941990.0,8.0,512.0]","[1.4812040786667875,0.6365397033128509,1.411826743396237]",0
1,0,649990.0,16,512.0,"[649990.0,16.0,512.0]","[1.0220573881810053,1.2730794066257018,1.411826743396237]",0
1,0,429990.0,8,256.0,"[429990.0,8.0,256.0]","[0.6761249501437722,0.6365397033128509,0.7059133716981185]",0
1,0,399990.0,4,256.0,"[399990.0,4.0,256.0]","[0.6289523449568768,0.31826985165642546,0.7059133716981185]",0
1,0,449990.0,8,256.0,"[449990.0,8.0,256.0]","[0.7075733536017025,0.6365397033128509,0.7059133716981185]",0
1,0,1123990.0,16,512.0,"[1123990.0,16.0,512.0]","[1.7673845501339531,1.2730794066257018,1.411826743396237]",0
0,0,299990.0,4,1024.0,"[299990.0,4.0,1024.0]","[0.47171032766722537,0.31826985165642546,2.823653486792474]",0
0,0,1429757.0,16,1024.0,"[1429757.0,16.0,1024.0]","[2.248178749140002,1.2730794066257018,2.823653486792474]",1
0,0,2259990.0,32,1024.0,"[2259990.0,32.0,1024.0]","[3.5536538665443933,2.5461588132514037,2.823653486792474]",1
1,0,1299990.0,8,512.0,"[1299990.0,8.0,512.0]","[2.04413050056374,0.6365397033128509,1.411826743396237]",0
1,0,929632.0,8,512.0,"[929632.0,8.0,512.0]","[1.4617721101701324,0.6365397033128509,1.411826743396237]",0
1,0,1014990.0,24,512.0,"[1014990.0,24.0,512.0]","[1.5959907512882332,1.9096191099385527,1.411826743396237]",0
1,0,1649990.0,24,512.0,"[1649990.0,24.0,512.0]","[2.59447756107752,1.9096191099385527,1.411826743396237]",0
1,0,699990.0,16,512.0,"[699990.0,16.0,512.0]","[1.1006783968258311,1.2730794066257018,1.411826743396237]",0
1,0,279990.0,4,1024.0,"[279990.0,4.0,1024.0]","[0.44026192420929505,0.31826985165642546,2.823653486792474]",0
1,0,799990.0,8,512.0,"[799990.0,8.0,512.0]","[1.2579204141154825,0.6365397033128509,1.411826743396237]",0
1,0,2999990.0,16,512.0,"[2999990.0,16.0,512.0]","[4.717244794487814,1.2730794066257018,1.411826743396237]",1
1,0,2089990.0,32,512.0,"[2089990.0,32.0,512.0]","[3.286342437151986,2.5461588132514037,1.411826743396237]",1
8,0,1149990.0,16,512.0,"[1149990.0,16.0,512.0]","[1.8082674746292626,1.2730794066257018,1.411826743396237]",0
8,0,1499000.0,32,1024.0,"[1499000.0,32.0,1024.0]","[2.357057839171875,2.5461588132514037,2.823653486792474]",1
1,0,1307990.0,16,1024.0,"[1307990.0,16.0,1024.0]","[2.0567098619469117,1.2730794066257018,2.823653486792474]",1
1,0,799990.0,16,512.0,"[799990.0,16.0,512.0]","[1.2579204141154825,1.2730794066257018,1.411826743396237]",0
1,0,1999990.0,32,512.0,"[1999990.0,32.0,512.0]","[3.1448246215912996,2.5461588132514037,1.411826743396237]",1
8,0,2137490.0,16,512.0,"[2137490.0,16.0,512.0]","[3.3610323953645707,1.2730794066257018,1.411826743396237]",1
2,0,1347560.0,16,512.0,"[1347560.0,16.0,512.0]","[2.118930528188427,1.2730794066257018,1.411826743396237]",0
0,0,934990.0,16,512.0,"[934990.0,16.0,512.0]","[1.470197137456512,1.2730794066257018,1.411826743396237]",0
1,0,1519990.0,16,1024.0,"[1519990.0,16.0,1024.0]","[2.390062938600973,1.2730794066257018,2.823653486792474]",1
17,0,1999000.0,16,1024.0,"[1999000.0,16.0,1024.0]","[3.1432679256201324,1.2730794066257018,2.823653486792474]",1
0,0,459990.0,8,512.0,"[459990.0,8.0,512.0]","[0.7232975553306676,0.6365397033128509,1.411826743396237]",0
2,0,1399990.0,16,512.0,"[1399990.0,16.0,512.0]","[2.201372517853391,1.2730794066257018,1.411826743396237]",0
2,0,488832.0,8,512.0,"[488832.0,8.0,512.0]","[0.7686492979573489,0.6365397033128509,1.411826743396237]",0
0,0,763990.0,16,512.0,"[763990.0,16.0,512.0]","[1.201313287891208,1.2730794066257018,1.411826743396237]",0
4,0,3192990.0,48,1024.0,"[3192990.0,48.0,1024.0]","[5.020721887856841,3.8192382198771053,2.823653486792474]",1
0,0,1454990.0,16,1024.0,"[1454990.0,16.0,1024.0]","[2.2878556273626995,1.2730794066257018,2.823653486792474]",1
4,0,1754990.0,16,512.0,"[1754990.0,16.0,512.0]","[2.759581679231654,1.2730794066257018,1.411826743396237]",0
3,0,425000.0,16,512.0,"[425000.0,16.0,512.0]","[0.6682785734810186,1.2730794066257018,1.411826743396237]",0
1,0,669900.0,16,1024.0,"[669900.0,16.0,1024.0]","[1.053364273823375,1.2730794066257018,2.823653486792474]",0
2,0,384900.0,8,512.0,"[384900.0,8.0,512.0]","[0.6052245245478683,0.6365397033128509,1.411826743396237]",0
2,0,499990.0,8,512.0,"[499990.0,8.0,512.0]","[0.7861943622465282,0.6365397033128509,1.411826743396237]",0
5,0,899990.0,16,512.0,"[899990.0,16.0,512.0]","[1.4151624314051339,1.2730794066257018,1.411826743396237]",0
2,0,599990.0,16,512.0,"[599990.0,16.0,512.0]","[0.9434363795361796,1.2730794066257018,1.411826743396237]",0
2,0,859990.0,16,512.0,"[859990.0,16.0,512.0]","[1.3522656244892735,1.2730794066257018,1.411826743396237]",0
0,0,509990.0,8,512.0,"[509990.0,8.0,512.0]","[0.8019185639754933,0.6365397033128509,1.411826743396237]",0
0,0,1299990.0,16,512.0,"[1299990.0,16.0,512.0]","[2.04413050056374,1.2730794066257018,1.411826743396237]",0
0,0,1885108.0,32,1024.0,"[1885108.0,32.0,1024.0]","[2.9641818472886023,2.5461588132514037,2.823653486792474]",1
2,0,1210990.0,16,512.0,"[1210990.0,16.0,512.0]","[1.90418510517595,1.2730794066257018,1.411826743396237]",0
17,0,1143900.0,16,512.0,"[1143900.0,16.0,512.0]","[1.7986914357763228,1.2730794066257018,1.411826743396237]",0
1,0,1749990.0,32,1024.0,"[1749990.0,32.0,1024.0]","[2.751719578367171,2.5461588132514037,2.823653486792474]",1
4,0,1411990.0,16,1024.0,"[1411990.0,16.0,1024.0]","[2.2202415599281493,1.2730794066257018,2.823653486792474]",1
2,0,569990.0,12,512.0,"[569990.0,12.0,512.0]","[0.8962637743492843,0.9548095549692763,1.411826743396237]",0
1,0,769990.0,16,512.0,"[769990.0,16.0,512.0]","[1.210747808928587,1.2730794066257018,1.411826743396237]",0
5,0,509990.0,16,512.0,"[509990.0,16.0,512.0]","[0.8019185639754933,1.2730794066257018,1.411826743396237]",0
1,0,649990.0,24,512.0,"[649990.0,24.0,512.0]","[1.0220573881810053,1.9096191099385527,1.411826743396237]",0
4,0,739328.0,8,512.0,"[739328.0,8.0,512.0]","[1.1625342615872343,0.6365397033128509,1.411826743396237]",0
2,0,499900.0,16,512.0,"[499900.0,16.0,512.0]","[0.7860528444309676,1.2730794066257018,1.411826743396237]",0
4,0,429990.0,16,512.0,"[429990.0,16.0,512.0]","[0.6761249501437722,1.2730794066257018,1.411826743396237]",0
1,0,599990.0,16,512.0,"[599990.0,16.0,512.0]","[0.9434363795361796,1.2730794066257018,1.411826743396237]",0
1,0,270000.0,8,250.0,"[270000.0,8.0,250.0]","[0.42455344668205885,0.6365397033128509,0.6893685270489439]",0
2,0,549990.0,12,512.0,"[549990.0,12.0,512.0]","[0.864815370891354,0.9548095549692763,1.411826743396237]",0
12,0,1099990.0,16,512.0,"[1099990.0,16.0,512.0]","[1.7296464659844368,1.2730794066257018,1.411826743396237]",0
1,0,229990.0,4,500.0,"[229990.0,4.0,500.0]","[0.36164091556446937,0.31826985165642546,1.3787370540978878]",0
1,0,995990.0,16,512.0,"[995990.0,16.0,512.0]","[1.5661147680031993,1.2730794066257018,1.411826743396237]",0
4,0,279000.0,4,500.0,"[279000.0,4.0,500.0]","[0.4387052282381275,0.31826985165642546,1.3787370540978878]",0
0,0,1548800.0,32,1024.0,"[1548800.0,32.0,1024.0]","[2.4353643637821216,2.5461588132514037,2.823653486792474]",1
1,0,3634990.0,32,1024.0,"[3634990.0,32.0,1024.0]","[5.715731604277101,2.5461588132514037,2.823653486792474]",1
0,0,1965530.0,32,512.0,"[1965530.0,32.0,512.0]","[3.090639022433286,2.5461588132514037,1.411826743396237]",1
1,0,1912271.0,32,1024.0,"[1912271.0,32.0,1024.0]","[3.0068934964449903,2.5461588132514037,2.823653486792474]",1
0,0,3149990.0,32,1024.0,"[3149990.0,32.0,1024.0]","[4.953107820422291,2.5461588132514037,2.823653486792474]",1
1,0,299990.0,8,512.0,"[299990.0,8.0,512.0]","[0.47171032766722537,0.6365397033128509,1.411826743396237]",0
4,0,2349990.0,24,512.0,"[2349990.0,24.0,512.0]","[3.6951716821050797,1.9096191099385527,1.411826743396237]",1
2,0,319990.0,8,1024.0,"[319990.0,8.0,1024.0]","[0.5031587311251556,0.6365397033128509,2.823653486792474]",0
2,0,1564990.0,16,512.0,"[1564990.0,16.0,512.0]","[2.460821846381316,1.2730794066257018,1.411826743396237]",0
4,0,3494010.0,48,1024.0,"[3494010.0,48.0,1024.0]","[5.49405180830215,3.8192382198771053,2.823653486792474]",1
0,0,687782.0,16,512.0,"[687782.0,16.0,512.0]","[1.0814822913551105,1.2730794066257018,1.411826743396237]",0
0,0,1493426.0,32,1024.0,"[1493426.0,32.0,1024.0]","[2.3482931691281497,2.5461588132514037,2.823653486792474]",1
12,0,709990.0,16,512.0,"[709990.0,16.0,512.0]","[1.1164025985547963,1.2730794066257018,1.411826743396237]",0
1,0,1199991.0,16,512.0,"[1199991.0,16.0,512.0]","[1.8868900556942612,1.2730794066257018,1.411826743396237]",0
0,0,409990.0,8,512.0,"[409990.0,8.0,512.0]","[0.644676546685842,0.6365397033128509,1.411826743396237]",0
1,0,1399993.0,16,512.0,"[1399993.0,16.0,512.0]","[2.20137723511391,1.2730794066257018,1.411826743396237]",0
1,0,849990.0,16,1024.0,"[849990.0,16.0,1024.0]","[1.3365414227603083,1.2730794066257018,2.823653486792474]",0
0,0,529990.0,8,512.0,"[529990.0,8.0,512.0]","[0.8333669674334236,0.6365397033128509,1.411826743396237]",0
2,0,799990.0,16,512.0,"[799990.0,16.0,512.0]","[1.2579204141154825,1.2730794066257018,1.411826743396237]",0
2,0,609990.0,8,512.0,"[609990.0,8.0,512.0]","[0.9591605812651448,0.6365397033128509,1.411826743396237]",0
2,0,539904.0,8,512.0,"[539904.0,8.0,512.0]","[0.8489559410275197,0.6365397033128509,1.411826743396237]",0
3,0,1124990.0,16,512.0,"[1124990.0,16.0,512.0]","[1.7689569703068497,1.2730794066257018,1.411826743396237]",0
0,0,659990.0,8,512.0,"[659990.0,8.0,512.0]","[1.0377815899099705,0.6365397033128509,1.411826743396237]",0
4,0,1664990.0,16,512.0,"[1664990.0,16.0,512.0]","[2.6180638636709674,1.2730794066257018,1.411826743396237]",0
0,0,1055990.0,16,512.0,"[1055990.0,16.0,512.0]","[1.6604599783769902,1.2730794066257018,1.411826743396237]",0
5,0,2299990.0,32,1024.0,"[2299990.0,32.0,1024.0]","[3.616550673460254,2.5461588132514037,2.823653486792474]",1
1,0,2999990.0,16,512.0,"[2999990.0,16.0,512.0]","[4.717244794487814,1.2730794066257018,1.411826743396237]",1
1,0,2039216.0,32,1024.0,"[2039216.0,32.0,1024.0]","[3.2065043752933384,2.5461588132514037,2.823653486792474]",1
