identificador,tienda,marca,ram,procesador,almacenamiento,precio_raw,ram_gbs,categoria,id_registro_unico,marca_cat
"Lenovo Yoga Slim 9i Gen 10 (14"" Intel Core Ultra 7)",SoloTodo,Lenovo,32 GB LPDDR5X (8533 MHz),Intel Core Ultra 7 258V (2200 MHz - 4800 MHz),SSD 1 TB,1799992.0,32,Otras Especificaciones,"Lenovo_Otras Especificaciones_Lenovo Yoga Slim 9i Gen 10 (14"" Intel Core Ultra 7)",1
Acer Aspire Vero AV14-51-54B9-1,SoloTodo,Acer,8 GB LPDDR4X (4266 MHz),Intel Core i5-1235U (900 MHz - 4400 MHz),SSD 512 GB,365000.0,8,Gama Media / Estándar,Acer_Gama Media / Estándar_Acer Aspire Vero AV14-51-54B9-1,5
"Notebook HP 250 G10 Core i5-1334U 16GB 512GB SSD 15.6"" FreeDOS",SoloTodo,Hp,16GB,Intel Core i5-1334U (900 MHz - 4600 MHz),512GB,540390.0,16,Gama Media / Estándar,"Hp_Gama Media / Estándar_Notebook HP 250 G10 Core i5-1334U 16GB 512GB SSD 15.6"" FreeDOS",0
Notebook Acer Aspire Lite AL15-43P-R3UW-5,SoloTodo,Acer,20 GB DDR4 (3200 MHz),AMD Ryzen 7 5825U (2000 MHz - 4500 MHz),SSD 512 GB,629990.0,20,Gama Alta / Productividad,Acer_Gama Alta / Productividad_Notebook Acer Aspire Lite AL15-43P-R3UW-5,5
"Notebook HP ZBook 8 G1i Intel Core Ultra 7 255H 32GB 1TB SSD RTX 500 4GB 14"" Windows 11 Pro",SoloTodo,Hp,32GB,Intel Core Ultra 7 255H (4400 MHz - 5100 MHz),1TB,2028590.0,32,Otras Especificaciones,"Hp_Otras Especificaciones_Notebook HP ZBook 8 G1i Intel Core Ultra 7 255H 32GB 1TB SSD RTX 500 4GB 14"" Windows 11 Pro",0
Notebook HP Omen 16-c0506la,SoloTodo,Hp,16 GB DDR4 (3200 MHz),AMD Ryzen 7 5800H (3200 MHz - 4400 MHz),SSD 512 GB,1011000.0,16,Gama Alta / Productividad,Hp_Gama Alta / Productividad_Notebook HP Omen 16-c0506la,0
Notebook ASUS Zenbook Duo UX8406CA-PZ179W,SoloTodo,Asus,32 GB LPDDR5X (6400 MHz),Intel Core Ultra 9 285H (4500 MHz - 5400 MHz),SSD 1 TB,1899990.0,32,Otras Especificaciones,Asus_Otras Especificaciones_Notebook ASUS Zenbook Duo UX8406CA-PZ179W,2
HP Victus Gaming 15-fb2015la,SoloTodo,Hp,16 GB DDR5 (5600 MHz),AMD Ryzen 5 8645HS (4300 MHz - 5000 MHz),SSD 1 TB,869990.0,16,Gama Media / Estándar,Hp_Gama Media / Estándar_HP Victus Gaming 15-fb2015la,0
Notebook HP OMEN 16-ap0007la – Potencia y rendimiento para gaming,SoloTodo,Hp,24 GB DDR5 (5200 MHz),AMD Ryzen 9 8940HX (2400 MHz - 5300 MHz),SSD 1 TB,1699990.0,24,Entusiasta / Ultra Alta Gama,Hp_Entusiasta / Ultra Alta Gama_Notebook HP OMEN 16-ap0007la – Potencia y rendimiento para gaming,0
ASUS TUF Gaming F16 FX607VJ-RL028W,SoloTodo,Asus,8 GB DDR4 (3200 MHz),Intel Core 5-210H (1600 MHz - 4800 MHz),SSD 512 GB,699900.0,8,Otras Especificaciones,Asus_Otras Especificaciones_ASUS TUF Gaming F16 FX607VJ-RL028W,2
Notebook Gamer HP Victus 15-FA1013LA,SoloTodo,Hp,16 GB DDR4 (3200 MHz),Intel Core i7-13700H (1800 MHz - 5000 MHz),SSD 1 TB,1166990.0,16,Gama Alta / Productividad,Hp_Gama Alta / Productividad_Notebook Gamer HP Victus 15-FA1013LA,0
"Lenovo Legion Pro 5 16"" (83LT003LCL) – Notebook Gamer AMD Ryzen 9 con NVIDIA RTX 5070",SoloTodo,Lenovo,32 GB DDR5 (5200 MHz),Ryzen 9,SSD 1 TB,1999990.0,32,Entusiasta / Ultra Alta Gama,"Lenovo_Entusiasta / Ultra Alta Gama_Lenovo Legion Pro 5 16"" (83LT003LCL) – Notebook Gamer AMD Ryzen 9 con NVIDIA RTX 5070",1
"Lenovo ThinkPad P14s Gen 6 (14"" AMD)",SoloTodo,Lenovo,32 GB DDR5 (5600 MHz),AMD Ryzen AI 7 Pro 350 (2000 MHz - 5000 MHz),SSD 512 GB,1399992.0,32,Otras Especificaciones,"Lenovo_Otras Especificaciones_Lenovo ThinkPad P14s Gen 6 (14"" AMD)",1
Notebook Gamer HP OMEN 17-db0009la,SoloTodo,Hp,32 GB DDR5 (5600 MHz),AMD Ryzen 9 8945HS (4000 MHz - 5200 MHz),SSD 1 TB,1489990.0,32,Entusiasta / Ultra Alta Gama,Hp_Entusiasta / Ultra Alta Gama_Notebook Gamer HP OMEN 17-db0009la,0
ASUS VivoBook S16 M3607HA-RP187W,SoloTodo,Asus,16 GB DDR5 (5600 MHz),AMD Ryzen 9 270 (4000 MHz - 5200 MHz),SSD 512 GB,919990.0,16,Entusiasta / Ultra Alta Gama,Asus_Entusiasta / Ultra Alta Gama_ASUS VivoBook S16 M3607HA-RP187W,2
Lenovo ThinkPad T14 Gen 2 (20W1SGQN00 / 32 GB RAM),SoloTodo,Lenovo,32 GB,Intel Core i5-1145G7 (2600 MHz - 4400 MHz),SSD 512 GB,499900.0,32,Gama Media / Estándar,Lenovo_Gama Media / Estándar_Lenovo ThinkPad T14 Gen 2 (20W1SGQN00 / 32 GB RAM),1
Notebook Gamer ASUS TUF Gaming A15 FA506NCG-HN196W,SoloTodo,Asus,16 GB DDR5 (5600 MHz),AMD Ryzen 7 7445HS (3500 MHz - 4700 MHz),SSD 512 GB,839990.0,16,Gama Alta / Productividad,Asus_Gama Alta / Productividad_Notebook Gamer ASUS TUF Gaming A15 FA506NCG-HN196W,2
"Notebook HP 15-fd0331la Intel Core 3-100U 15.6"" 8GB 512GB SSD Windows 11 Home",SoloTodo,Hp,8GB,Intel Core 3-100U (900 MHz - 4700 MHz),512GB,464990.0,8,Otras Especificaciones,"Hp_Otras Especificaciones_Notebook HP 15-fd0331la Intel Core 3-100U 15.6"" 8GB 512GB SSD Windows 11 Home",0
HP ZBook Ultra 14 G1a – Workstation portátil de alto rendimiento con IA integrada,SoloTodo,Hp,64 GB LPDDR5X (8533 MHz),AMD Ryzen AI Max+ Pro 395 (3000 MHz - 5100 MHz),SSD 1 TB,2741910.0,64,Otras Especificaciones,Hp_Otras Especificaciones_HP ZBook Ultra 14 G1a – Workstation portátil de alto rendimiento con IA integrada,0
"Apple MacBook Neo (Early 2026) - 13"" Liquid Retina, Chip A18 Pro, 8GB RAM, 256GB SSD, Blush",SoloTodo,Apple,8GB,Apple A-Series A18 Pro (6-Core CPU / 5-Core GPU) (2424 MHz - 4000 MHz),256GB,649990.0,8,Otras Especificaciones,"Apple_Otras Especificaciones_Apple MacBook Neo (Early 2026) - 13"" Liquid Retina, Chip A18 Pro, 8GB RAM, 256GB SSD, Blush",4
Lenovo LOQ Essential 15ARP10 (Modelo 83S00002CL),SoloTodo,Lenovo,16 GB DDR5 (4800 MHz),AMD Ryzen 7 7735HS (3200 MHz - 4750 MHz),SSD 512 GB,859990.0,16,Gama Alta / Productividad,Lenovo_Gama Alta / Productividad_Lenovo LOQ Essential 15ARP10 (Modelo 83S00002CL),1
Notebook Gamer Lenovo Legion Slim 5 16AHP9,SoloTodo,Lenovo,16 GB DDR5 (5600 MHz),AMD Ryzen 7 8845HS (3800 MHz - 5100 MHz),SSD 1 TB,1849990.0,16,Gama Alta / Productividad,Lenovo_Gama Alta / Productividad_Notebook Gamer Lenovo Legion Slim 5 16AHP9,1
"ASUS ExpertBook B3 - Notebook de 14"" con Intel Core Ultra 7",SoloTodo,Asus,16 GB DDR5 (4800 MHz),Intel Core Ultra 7 155H (3800 MHz - 4800 MHz),SSD 1 TB,870356.0,16,Otras Especificaciones,"Asus_Otras Especificaciones_ASUS ExpertBook B3 - Notebook de 14"" con Intel Core Ultra 7",2
"Apple MacBook Air (Late 2020) con Apple Silicon M1 - 13.3"" Retina, 8GB RAM, 256GB SSD, Silver",SoloTodo,Apple,8GB,Apple M-Series M1 (3200 MHz),256GB,699990.0,8,Gama Media / Estándar,"Apple_Gama Media / Estándar_Apple MacBook Air (Late 2020) con Apple Silicon M1 - 13.3"" Retina, 8GB RAM, 256GB SSD, Silver",4
"Lenovo LOQ Gen 9 (15"" AMD) GeForce RTX™ 3050",SoloTodo,Lenovo,16 GB DDR5 (4800 MHz),AMD Ryzen 5 7235HS (3200 MHz - 4200 MHz),SSD 512 GB,859990.0,16,Gama Media / Estándar,"Lenovo_Gama Media / Estándar_Lenovo LOQ Gen 9 (15"" AMD) GeForce RTX™ 3050",1
"Lenovo ThinkPad T14 Gen 5 (Intel Core Ultra 5 125U) – Notebook Profesional de 14""",SoloTodo,Lenovo,16 GB DDR5 (5600 MHz),Intel Core Ultra 5 125U (1300 MHz - 4300 MHz),SSD 512 GB,1330990.0,16,Otras Especificaciones,"Lenovo_Otras Especificaciones_Lenovo ThinkPad T14 Gen 5 (Intel Core Ultra 5 125U) – Notebook Profesional de 14""",1
Lenovo Legion 5 15ARH05 – Laptop Gamer con Rendimiento Equilibrado,SoloTodo,Lenovo,8 GB DDR4 (3200 MHz),AMD Ryzen 5 4600H (3000 MHz - 4000 MHz),SSD 512 GB,1299990.0,8,Gama Media / Estándar,Lenovo_Gama Media / Estándar_Lenovo Legion 5 15ARH05 – Laptop Gamer con Rendimiento Equilibrado,1
Lenovo ThinkBook 14 Gen 6 (21KG00RLCL),SoloTodo,Lenovo,8 GB DDR5 (5200 MHz),Intel Core i5-13420H (1500 MHz - 4600 MHz),SSD 512 GB,929632.0,8,Gama Media / Estándar,Lenovo_Gama Media / Estándar_Lenovo ThinkBook 14 Gen 6 (21KG00RLCL),1
Lenovo ThinkPad Z13 Gen 2 (21JWS1GA00) - Notebook Profesional,SoloTodo,Lenovo,32 GB LPDDR5 (7500 MHz),AMD Ryzen 7 PRO 7840U (3300 MHz - 5100 MHz),SSD 512 GB,2089990.0,32,Gama Alta / Productividad,Lenovo_Gama Alta / Productividad_Lenovo ThinkPad Z13 Gen 2 (21JWS1GA00) - Notebook Profesional,1
MSI Cyborg 15 A13VE-218US,SoloTodo,Msi,16 GB DDR5 (5200 MHz),Intel Core i7-13620H (2400 MHz - 4900 MHz),SSD 512 GB,1149990.0,16,Gama Alta / Productividad,Msi_Gama Alta / Productividad_MSI Cyborg 15 A13VE-218US,8
HP Pavilion 13-an1010la,SoloTodo,Hp,8 GB DDR4 (2400 MHz),Intel Core i5-1035G1 (1000 MHz - 3600 MHz),"Intel Optane 16 GB
SSD 256 GB",369990.0,8,Gama Media / Estándar,Hp_Gama Media / Estándar_HP Pavilion 13-an1010la,0
Notebook Asus TUF Gaming F16 FX608JHR-RV078W,SoloTodo,Asus,16 GB DDR5 (5600 MHz),Intel Core i7-14650HX (1600 MHz - 5200 MHz),SSD 512 GB,1399990.0,16,Gama Alta / Productividad,Asus_Gama Alta / Productividad_Notebook Asus TUF Gaming F16 FX608JHR-RV078W,2
"Apple MacBook Pro 16"" (Early 2026) con chip M5 Pro, 48 GB RAM, 1 TB SSD - Plata",SoloTodo,Apple,48 GB,Apple M-Series M5 Pro (18-Core CPU / 20-Core GPU) (3000 MHz - 4600 MHz),1 TB,3192990.0,48,Otras Especificaciones,"Apple_Otras Especificaciones_Apple MacBook Pro 16"" (Early 2026) con chip M5 Pro, 48 GB RAM, 1 TB SSD - Plata",4
Notebook Acer Aspire 14 A14-52MT-59PE,SoloTodo,Acer,16 GB LPDDR5X (8533 MHz),Intel Core Ultra 5 226V (2100 MHz - 4500 MHz),SSD 512 GB,899990.0,16,Otras Especificaciones,Acer_Otras Especificaciones_Notebook Acer Aspire 14 A14-52MT-59PE,5
HP OMEN 16-XD0002LA: Potente notebook gaming para usuarios exigentes,SoloTodo,Hp,16 GB DDR5 (5600 MHz),AMD Ryzen 7 7840HS (3800 MHz - 5100 MHz),SSD 512 GB,1299990.0,16,Gama Alta / Productividad,Hp_Gama Alta / Productividad_HP OMEN 16-XD0002LA: Potente notebook gaming para usuarios exigentes,0
ASUS TUF Gaming A15 FA507NVR-LP005W,SoloTodo,Asus,16 GB DDR5 (4800 MHz),AMD Ryzen 7 7435HS (3100 MHz - 4500 MHz),SSD 512 GB,1210990.0,16,Gama Alta / Productividad,Asus_Gama Alta / Productividad_ASUS TUF Gaming A15 FA507NVR-LP005W,2
GIGABYTE GAMING A16 3TH – Notebook Gamer Potente y Versátil,SoloTodo,Gigabyte,16 GB DDR5 (5600 MHz),AMD Ryzen 7 260 (3800 MHz - 5100 MHz),SSD 512 GB,1143900.0,16,Gama Alta / Productividad,Gigabyte_Gama Alta / Productividad_GIGABYTE GAMING A16 3TH – Notebook Gamer Potente y Versátil,17
"Lenovo Legion 5i Gen 10 (15"" Intel) con GeForce RTX™ 5060",SoloTodo,Lenovo,32 GB DDR5 (5600 MHz),Intel Core Ultra 7 255HX (2300 MHz - 5200 MHz),SSD 1 TB,1749990.0,32,Otras Especificaciones,"Lenovo_Otras Especificaciones_Lenovo Legion 5i Gen 10 (15"" Intel) con GeForce RTX™ 5060",1
"Notebook Lenovo IdeaPad Slim 3 15IRH10 Intel Core i7-13620H 16GB 512GB SSD Touch 15.3"" Luna Grey",SoloTodo,Lenovo,16GB,Intel Core i7-13620H,512GB,769990.0,16,Gama Alta / Productividad,"Lenovo_Gama Alta / Productividad_Notebook Lenovo IdeaPad Slim 3 15IRH10 Intel Core i7-13620H 16GB 512GB SSD Touch 15.3"" Luna Grey",1
Apple MacBook Pro MD101LL/A (Mid 2012) - Reacondicionado,SoloTodo,Apple,4 GB DDR3 (1600 MHz),Intel Core i5-3210M (2500 MHz - 3100 MHz),HDD 500 GB (5400rpm),279000.0,4,Gama Media / Estándar,Apple_Gama Media / Estándar_Apple MacBook Pro MD101LL/A (Mid 2012) - Reacondicionado,4
Notebook HP EliteBook 840 G11 (A1UP8LT),SoloTodo,Hp,32 GB DDR5 (5600 MHz),Intel Core Ultra 7 155U (3800 MHz - 4800 MHz),SSD 1 TB,1548800.0,32,Otras Especificaciones,Hp_Otras Especificaciones_Notebook HP EliteBook 840 G11 (A1UP8LT),0
"Apple MacBook Pro 14"" (Late 2024) con Apple Silicon M4 Pro",SoloTodo,Apple,48 GB UMA (0 MHz),Apple M-Series M4 Pro (14-Core CPU / 20-Core GPU) (2600 MHz - 4500 MHz),SSD 1 TB,3494010.0,48,Otras Especificaciones,"Apple_Otras Especificaciones_Apple MacBook Pro 14"" (Late 2024) con Apple Silicon M4 Pro",4
Samsung Galaxy Book4 - Silver (NP750XGJ-KS5CL),SoloTodo,Samsung,16 GB LPDDR4X (2933 MHz),Intel Core i5-1335U (1300 MHz - 4600 MHz),SSD 512 GB,709990.0,16,Gama Media / Estándar,Samsung_Gama Media / Estándar_Samsung Galaxy Book4 - Silver (NP750XGJ-KS5CL),12
ASUS ExpertBook P1 PM1403CDA-S60109W,SoloTodo,Asus,8 GB DDR5 (4800 MHz),AMD Ryzen 5 7535HS (3300 MHz - 4550 MHz),SSD 512 GB,539904.0,8,Gama Media / Estándar,Asus_Gama Media / Estándar_ASUS ExpertBook P1 PM1403CDA-S60109W,2
"Notebook HP ProBook 4 AI G1i 14"" Intel Core Ultra 7 255U",SoloTodo,Hp,16 GB DDR5 (5600 MHz),Intel Core Ultra 7 255U (2000 MHz - 5200 MHz),SSD 512 GB,1055990.0,16,Otras Especificaciones,"Hp_Otras Especificaciones_Notebook HP ProBook 4 AI G1i 14"" Intel Core Ultra 7 255U",0
"Lenovo Yoga Book 9i 14"" – Notebook Convertible con Doble Pantalla OLED",SoloTodo,Lenovo,32 GB LPDDR5X (8400 MHz),Intel Core Ultra 9 285H (4500 MHz - 5400 MHz),SSD 1 TB,2039216.0,32,Otras Especificaciones,"Lenovo_Otras Especificaciones_Lenovo Yoga Book 9i 14"" – Notebook Convertible con Doble Pantalla OLED",1
"Apple MacBook Air 13"" (Early 2026) con chip M5, 16 GB RAM, 512 GB SSD - Starlight",SoloTodo,Apple,16 GB,Apple M-Series M5 (10-Core CPU / 8-Core GPU) (3000 MHz - 4600 MHz),512 GB,1249990.0,16,Otras Especificaciones,"Apple_Otras Especificaciones_Apple MacBook Air 13"" (Early 2026) con chip M5, 16 GB RAM, 512 GB SSD - Starlight",4
Notebook Acer Nitro Lite 16 NL16-71G-50GH-1,SoloTodo,Acer,16 GB DDR5 (4800 MHz),Intel Core i5-13420H (1500 MHz - 4600 MHz),SSD 512 GB,869990.0,16,Gama Media / Estándar,Acer_Gama Media / Estándar_Notebook Acer Nitro Lite 16 NL16-71G-50GH-1,5
"Notebook ASUS V16 V3607VU-RP274W 16"" – Potencia y versatilidad para gaming y productividad",SoloTodo,Asus,16 GB DDR5 (5600 MHz),Intel Core 5-210H (1600 MHz - 4800 MHz),SSD 512 GB,849990.0,16,Otras Especificaciones,"Asus_Otras Especificaciones_Notebook ASUS V16 V3607VU-RP274W 16"" – Potencia y versatilidad para gaming y productividad",2
ASUS TUF Gaming F16 FX607VJB-RL112W,SoloTodo,Asus,8 GB DDR4 (3200 MHz),Intel Core 5-210H (1600 MHz - 4800 MHz),SSD 512 GB,799990.0,8,Otras Especificaciones,Asus_Otras Especificaciones_ASUS TUF Gaming F16 FX607VJB-RL112W,2
Notebook Gamer Lenovo LOQ 15IRX10 (83JE0026CL),SoloTodo,Lenovo,24 GB DDR5 (4800 MHz),Intel Core i7-13650HX (3600 MHz - 4900 MHz),SSD 512 GB,1299990.0,24,Gama Alta / Productividad,Lenovo_Gama Alta / Productividad_Notebook Gamer Lenovo LOQ 15IRX10 (83JE0026CL),1
ASUS VivoBook 15 M1502NAQ-BQ078W,SoloTodo,Asus,24 GB DDR5 (4800 MHz),AMD Ryzen 7 170 (3200 MHz - 4750 MHz),SSD 512 GB,759990.0,24,Gama Alta / Productividad,Asus_Gama Alta / Productividad_ASUS VivoBook 15 M1502NAQ-BQ078W,2
HP Elite Dragonfly G4 – Notebook Empresarial Ultraligero y Potente,SoloTodo,Hp,32 GB LPDDR5 (6400 MHz),Intel Core i7-1365U (1300 MHz - 5200 MHz),SSD 512 GB,2099990.0,32,Gama Alta / Productividad,Hp_Gama Alta / Productividad_HP Elite Dragonfly G4 – Notebook Empresarial Ultraligero y Potente,0
Dell Latitude 5450,SoloTodo,Dell,16 GB DDR5 (4800 MHz),Intel Core Ultra 7 155U (3800 MHz - 4800 MHz),SSD 512 GB,1324990.0,16,Otras Especificaciones,Dell_Otras Especificaciones_Dell Latitude 5450,3
"Apple MacBook Pro 14"" (Late 2024) con chip M4 Max",SoloTodo,Apple,36 GB UMA (0 MHz),Apple M-Series M4 Max (14-Core CPU / 32-Core GPU) (2600 MHz - 4500 MHz),SSD 1 TB,2799990.0,36,Otras Especificaciones,"Apple_Otras Especificaciones_Apple MacBook Pro 14"" (Late 2024) con chip M4 Max",4
"Notebook HP 15-fd0059la (A4BB5LA) – Intel Core i5, 16GB RAM, 512GB SSD, 15.6"" FHD, Windows 11 Home",SoloTodo,Hp,16GB,Intel Core i5,512GB,649990.0,16,Gama Media / Estándar,"Hp_Gama Media / Estándar_Notebook HP 15-fd0059la (A4BB5LA) – Intel Core i5, 16GB RAM, 512GB SSD, 15.6"" FHD, Windows 11 Home",0
ASUS Vivobook 15 X1504VA-BQ4206W,SoloTodo,Asus,16 GB DDR5 (4800 MHz),Intel Core 5-120U (900 MHz - 5000 MHz),SSD 512 GB,679990.0,16,Otras Especificaciones,Asus_Otras Especificaciones_ASUS Vivobook 15 X1504VA-BQ4206W,2
ASUS Vivobook 15 M1502NAQ-BQ073W,SoloTodo,Asus,8 GB DDR5 (4800 MHz),AMD Ryzen 7 170 (3200 MHz - 4750 MHz),SSD 512 GB,659990.0,8,Gama Alta / Productividad,Asus_Gama Alta / Productividad_ASUS Vivobook 15 M1502NAQ-BQ073W,2
"Lenovo ThinkPad P16v Gen 1 (AMD Ryzen 7 7840HS, 16"", 16GB RAM, 1TB SSD, NVIDIA RTX A500)",SoloTodo,Lenovo,16GB,Ryzen 7,1TB,1425900.0,16,Gama Alta / Productividad,"Lenovo_Gama Alta / Productividad_Lenovo ThinkPad P16v Gen 1 (AMD Ryzen 7 7840HS, 16"", 16GB RAM, 1TB SSD, NVIDIA RTX A500)",1
"Apple MacBook Pro 16"" (Late 2019) i9-9880H / 1TB SSD / AMD Radeon Pro 5500M (MVVM2LL/A)",SoloTodo,Apple,16 GB DDR4 (2666 MHz),Intel Core i9-9880H (2300 MHz - 4800 MHz),1TB,799990.0,16,Entusiasta / Ultra Alta Gama,"Apple_Entusiasta / Ultra Alta Gama_Apple MacBook Pro 16"" (Late 2019) i9-9880H / 1TB SSD / AMD Radeon Pro 5500M (MVVM2LL/A)",4
"ASUS ExpertBook B3 - Notebook de 14"" con Intel Core Ultra 7",SoloTodo,Asus,32 GB DDR5 (4800 MHz),Intel Core Ultra 7 155H (3800 MHz - 4800 MHz),SSD 1 TB,1033610.0,32,Otras Especificaciones,"Asus_Otras Especificaciones_ASUS ExpertBook B3 - Notebook de 14"" con Intel Core Ultra 7",2
Notebook ASUS ExpertBook B3 B3405CCA-LY2268X,SoloTodo,Asus,32 GB DDR5 (5600 MHz),Intel Core Ultra 7 155H (3800 MHz - 4800 MHz),SSD 1 TB,1259990.0,32,Otras Especificaciones,Asus_Otras Especificaciones_Notebook ASUS ExpertBook B3 B3405CCA-LY2268X,2
Lenovo Legion 7 16ACHg6 (82N6007LCL) - Notebook Gamer Reacondicionada,SoloTodo,Lenovo,32 GB DDR4 (3200 MHz),AMD Ryzen 9 5900HX (3300 MHz - 4600 MHz),SSD 1 TB,1499990.0,32,Entusiasta / Ultra Alta Gama,Lenovo_Entusiasta / Ultra Alta Gama_Lenovo Legion 7 16ACHg6 (82N6007LCL) - Notebook Gamer Reacondicionada,1
"Apple MacBook Pro 14"" (Late 2025) con chip M5",SoloTodo,Apple,24 GB UMA (0 MHz),Apple M-Series M5 (10-Core CPU / 10-Core GPU) (3000 MHz - 4600 MHz),SSD 1 TB,1999990.0,24,Otras Especificaciones,"Apple_Otras Especificaciones_Apple MacBook Pro 14"" (Late 2025) con chip M5",4
ASUS ROG Strix G16 G614PM-S5100W – Notebook Gamer de Alto Rendimiento,SoloTodo,Asus,32 GB DDR5 (5200 MHz),AMD Ryzen 9 8940HX (2400 MHz - 5300 MHz),SSD 1 TB,1999990.0,32,Entusiasta / Ultra Alta Gama,Asus_Entusiasta / Ultra Alta Gama_ASUS ROG Strix G16 G614PM-S5100W – Notebook Gamer de Alto Rendimiento,2
Acer Nitro V15 ANV15-52-96J3-1 – Notebook Gamer de Alto Rendimiento,SoloTodo,Acer,32 GB DDR4 (3200 MHz),Intel Core i9-13900H (1900 MHz - 5400 MHz),SSD 1 TB,1579990.0,32,Entusiasta / Ultra Alta Gama,Acer_Entusiasta / Ultra Alta Gama_Acer Nitro V15 ANV15-52-96J3-1 – Notebook Gamer de Alto Rendimiento,5
"Apple MacBook Air 13.6"" (Early 2025) con chip M4, 16 GB RAM, 512 GB SSD – Sky Blue",SoloTodo,Apple,16 GB,Apple M-Series M4 (10-Core CPU / 10-Core GPU) (2900 MHz - 4400 MHz),512 GB,1039990.0,16,Otras Especificaciones,"Apple_Otras Especificaciones_Apple MacBook Air 13.6"" (Early 2025) con chip M4, 16 GB RAM, 512 GB SSD – Sky Blue",4
"ASUS TUF Gaming A16 FA607NUG-RL146W – Notebook Gamer 16"" con AMD Ryzen 7 y NVIDIA RTX 4050",SoloTodo,Asus,16 GB DDR5 (4800 MHz),Ryzen 7,SSD 512 GB,1039990.0,16,Gama Alta / Productividad,"Asus_Gama Alta / Productividad_ASUS TUF Gaming A16 FA607NUG-RL146W – Notebook Gamer 16"" con AMD Ryzen 7 y NVIDIA RTX 4050",2
ASUS TUF Gaming A15 FA506NCG-HN225W,SoloTodo,Asus,32 GB DDR5 (5600 MHz),AMD Ryzen 7 7445HS (3500 MHz - 4700 MHz),SSD 512 GB,999990.0,32,Gama Alta / Productividad,Asus_Gama Alta / Productividad_ASUS TUF Gaming A15 FA506NCG-HN225W,2
ASUS TUF Gaming A15 FA506NCG-HN225W,SoloTodo,Asus,32 GB DDR5 (5600 MHz),AMD Ryzen 7 7445HS (3500 MHz - 4700 MHz),SSD 512 GB,999990.0,32,Gama Alta / Productividad,Asus_Gama Alta / Productividad_ASUS TUF Gaming A15 FA506NCG-HN225W,2
